user_id,user_type,name,email,university,academic_stream,cgpa,language,region,career_interest,mood_preference,company,job_role,experience_years,age,mentoring_rating,total_mentees,availability,bio
mentor_0028,mentor,Mentor 28,mentor28@example.com,SRM University,Data Science,7.6276267245845775,Telugu,Mumbai Metropolitan,Social Impact,Challenging & Critical,McKinsey,UI/UX Designer,17,32,4.05,16,High,Experienced UI/UX Designer with passion for Social Impact
mentor_0029,mentor,Mentor 29,mentor29@example.com,NIT Surathkal,Chemical Engineering,7.861212753615176,Marathi,Pune,Data Science & AI,Motivational & Inspiring,Morgan Stanley,Software Engineer,10,38,4.46,38,Medium,Experienced Software Engineer with passion for Data Science & AI
mentor_0030,mentor,Mentor 30,mentor30@example.com,IIT Delhi,Data Science,8.015042081363454,Hindi,West India,Product Development,Direct & Straightforward,Startup,DevOps Engineer,6,33,4.2,24,High,Experienced DevOps Engineer with passion for Product Development
mentor_0031,mentor,Mentor 31,mentor31@example.com,SRM University,Electrical Engineering,8.04716930997956,English,Kolkata,Research & Innovation,Friendly & Casual,TCS,Software Engineer,17,34,3.78,4,Medium,Experienced Software Engineer with passion for Research & Innovation
mentor_0032,mentor,Mentor 32,mentor32@example.com,Anna University,Data Science,7.384380731716877,Tamil,West India,Consulting,Analytical & Logical,Zomato,Machine Learning Engineer,19,32,4.55,4,High,Experienced Machine Learning Engineer with passion for Consulting
mentor_0033,mentor,Mentor 33,mentor33@example.com,BITS Pilani,Electrical Engineering,8.03448076140537,Gujarati,West India,Social Impact,Challenging & Critical,TCS,Full Stack Developer,15,40,4.33,19,Medium,Experienced Full Stack Developer with passion for Social Impact
mentor_0034,mentor,Mentor 34,mentor34@example.com,Amity University,Chemical Engineering,7.348633872403458,Telugu,Pune,Corporate Growth,Motivational & Inspiring,Infosys,UI/UX Designer,4,27,4.04,15,High,Experienced UI/UX Designer with passion for Corporate Growth
mentor_0035,mentor,Mentor 35,mentor35@example.com,SRM University,Aerospace Engineering,7.963442749497776,Punjabi,Northeast India,Consulting,Patient & Understanding,Netflix,Data Engineer,15,37,4.87,40,Very High,Experienced Data Engineer with passion for Consulting
mentor_0036,mentor,Mentor 36,mentor36@example.com,DTU Delhi,Electrical Engineering,7.89783342226462,Kannada,Mumbai Metropolitan,Data Science & AI,Motivational & Inspiring,TCS,Machine Learning Engineer,15,26,3.53,36,High,Experienced Machine Learning Engineer with passion for Data Science & AI
mentor_0037,mentor,Mentor 37,mentor37@example.com,IIT Delhi,Computer Science,8.110277832638497,Hindi,South India,Academia & Teaching,Supportive & Empathetic,Infosys,DevOps Engineer,17,33,3.97,39,Medium,Experienced DevOps Engineer with passion for Academia & Teaching
mentor_0038,mentor,Mentor 38,mentor38@example.com,Manipal Institute,Data Science,8.010373359216771,Telugu,Central India,Healthcare Technology,Supportive & Empathetic,Goldman Sachs,Research Scientist,12,30,3.59,8,High,Experienced Research Scientist with passion for Healthcare Technology
mentor_0039,mentor,Mentor 39,mentor39@example.com,Manipal Institute,Data Science,7.1460541000709625,Hindi,West India,Healthcare Technology,Motivational & Inspiring,Morgan Stanley,Frontend Engineer,5,40,4.65,4,High,Experienced Frontend Engineer with passion for Healthcare Technology
mentor_0040,mentor,Mentor 40,mentor40@example.com,Anna University,Computer Science,7.86696813724721,Hindi,Ahmedabad,Startup Ecosystem,Direct & Straightforward,Netflix,Software Engineer,5,26,4.55,41,Medium,Experienced Software Engineer with passion for Startup Ecosystem
mentor_0041,mentor,Mentor 41,mentor41@example.com,SRM University,Electronics,8.022719790331909,Telugu,Kolkata,Consulting,Analytical & Logical,Apple,Data Engineer,16,26,4.0,1,High,Experienced Data Engineer with passion for Consulting
mentor_0042,mentor,Mentor 42,mentor42@example.com,SRM University,Information Technology,6.4671004888410355,Malayalam,East India,Finance & Investment,Challenging & Critical,Startup,Data Scientist,10,35,4.51,8,Low,Experienced Data Scientist with passion for Finance & Investment
mentor_0043,mentor,Mentor 43,mentor43@example.com,PESIT Bangalore,Aerospace Engineering,7.280764514215177,Bengali,Mumbai Metropolitan,Academia & Teaching,Supportive & Empathetic,McKinsey,Full Stack Developer,6,35,4.09,42,Low,Experienced Full Stack Developer with passion for Academia & Teaching
mentor_0044,mentor,Mentor 44,mentor44@example.com,PESIT Bangalore,Biotechnology,7.986491112974667,Punjabi,Chennai,Healthcare Technology,Challenging & Critical,Google,Product Manager,13,40,4.63,35,Medium,Experienced Product Manager with passion for Healthcare Technology
mentor_0045,mentor,Mentor 45,mentor45@example.com,PESIT Bangalore,Electrical Engineering,8.867433995783697,Tamil,Pune,Academia & Teaching,Direct & Straightforward,McKinsey,DevOps Engineer,13,42,4.18,21,High,Experienced DevOps Engineer with passion for Academia & Teaching
mentor_0046,mentor,Mentor 46,mentor46@example.com,IIT Madras,Computer Science,8.159920148902987,Tamil,Northeast India,Research & Innovation,Challenging & Critical,Wipro,Machine Learning Engineer,13,31,4.12,21,Medium,Experienced Machine Learning Engineer with passion for Research & Innovation
mentor_0047,mentor,Mentor 47,mentor47@example.com,SRM University,Chemical Engineering,8.917902389582077,Punjabi,Ahmedabad,Academia & Teaching,Friendly & Casual,Morgan Stanley,Frontend Engineer,4,28,4.9,21,Very High,Experienced Frontend Engineer with passion for Academia & Teaching
mentor_0048,mentor,Mentor 48,mentor48@example.com,VIT Vellore,Electrical Engineering,7.1813012878584415,Malayalam,Mumbai Metropolitan,Entrepreneurship,Supportive & Empathetic,Microsoft,Data Scientist,19,38,3.88,33,High,Experienced Data Scientist with passion for Entrepreneurship
mentor_0049,mentor,Mentor 49,mentor49@example.com,NIT Trichy,Information Technology,7.700152393798114,Tamil,Central India,Data Science & AI,Direct & Straightforward,Startup,Data Engineer,11,41,3.68,28,High,Experienced Data Engineer with passion for Data Science & AI
mentor_0050,mentor,Mentor 50,mentor50@example.com,DTU Delhi,Chemical Engineering,8.144588239620894,Hindi,Kolkata,Healthcare Technology,Direct & Straightforward,Meta,AI Research Engineer,4,33,4.38,37,Low,Experienced AI Research Engineer with passion for Healthcare Technology
mentor_0051,mentor,Mentor 51,mentor51@example.com,IIT Madras,Mechanical Engineering,6.0,Marathi,Northeast India,Academia & Teaching,Analytical & Logical,Meta,Consultant,17,40,4.95,45,Very High,Experienced Consultant with passion for Academia & Teaching
mentor_0052,mentor,Mentor 52,mentor52@example.com,NIT Surathkal,Data Science,8.708642574491622,Kannada,Central India,Consulting,Analytical & Logical,Infosys,Business Analyst,18,42,4.07,32,Medium,Experienced Business Analyst with passion for Consulting
mentor_0053,mentor,Mentor 53,mentor53@example.com,IIT Madras,Mechanical Engineering,6.011272095316283,English,Ahmedabad,Tech Leadership,Friendly & Casual,Zomato,Software Engineer,6,42,3.59,17,Medium,Experienced Software Engineer with passion for Tech Leadership
mentor_0054,mentor,Mentor 54,mentor54@example.com,VIT Vellore,Electrical Engineering,8.297552054622722,Tamil,Mumbai Metropolitan,Entrepreneurship,Direct & Straightforward,Wipro,Cloud Architect,10,38,4.01,6,High,Experienced Cloud Architect with passion for Entrepreneurship
mentor_0055,mentor,Mentor 55,mentor55@example.com,NIT Surathkal,Information Technology,8.049465432434117,Punjabi,South India,Entrepreneurship,Professional & Formal,Flipkart,Business Analyst,11,42,4.26,0,Very High,Experienced Business Analyst with passion for Entrepreneurship
mentor_0056,mentor,Mentor 56,mentor56@example.com,DTU Delhi,Aerospace Engineering,6.0,Marathi,Ahmedabad,Finance & Investment,Direct & Straightforward,Wipro,DevOps Engineer,7,31,3.74,32,Low,Experienced DevOps Engineer with passion for Finance & Investment
mentor_0057,mentor,Mentor 57,mentor57@example.com,VIT Vellore,Electrical Engineering,6.0,Telugu,Chennai,Academia & Teaching,Analytical & Logical,TCS,Consultant,18,42,4.49,0,Medium,Experienced Consultant with passion for Academia & Teaching
mentor_0058,mentor,Mentor 58,mentor58@example.com,IIT Bombay,Computer Science,8.645985533962005,Bengali,Central India,Startup Ecosystem,Professional & Formal,Netflix,AI Research Engineer,15,41,5.0,23,Medium,Experienced AI Research Engineer with passion for Startup Ecosystem
mentor_0059,mentor,Mentor 59,mentor59@example.com,NIT Trichy,Civil Engineering,8.471777647749239,Punjabi,Northeast India,Finance & Investment,Supportive & Empathetic,Swiggy,Consultant,9,39,4.18,3,High,Experienced Consultant with passion for Finance & Investment
mentor_0060,mentor,Mentor 60,mentor60@example.com,DTU Delhi,Electrical Engineering,6.795309084409391,Hindi,Northeast India,Finance & Investment,Supportive & Empathetic,Startup,Data Engineer,19,38,4.03,3,High,Experienced Data Engineer with passion for Finance & Investment
mentor_0061,mentor,Mentor 61,mentor61@example.com,SRM University,Data Science,6.794496883964749,Bengali,Central India,Tech Leadership,Challenging & Critical,Wipro,Consultant,5,31,4.1,17,High,Experienced Consultant with passion for Tech Leadership
mentor_0062,mentor,Mentor 62,mentor62@example.com,PESIT Bangalore,Data Science,7.910083977900976,Kannada,Hyderabad,Research & Innovation,Motivational & Inspiring,Apple,Product Manager,7,28,3.67,26,Very High,Experienced Product Manager with passion for Research & Innovation
mentor_0063,mentor,Mentor 63,mentor63@example.com,IIT Bombay,Electrical Engineering,7.489804679609305,Kannada,Mumbai Metropolitan,Academia & Teaching,Analytical & Logical,TCS,DevOps Engineer,14,39,4.82,42,Very High,Experienced DevOps Engineer with passion for Academia & Teaching
mentor_0064,mentor,Mentor 64,mentor64@example.com,Anna University,Chemical Engineering,8.34351617267929,Malayalam,Hyderabad,Corporate Growth,Motivational & Inspiring,Google,Cloud Architect,9,39,4.12,31,Medium,Experienced Cloud Architect with passion for Corporate Growth
mentor_0065,mentor,Mentor 65,mentor65@example.com,DTU Delhi,Civil Engineering,7.88366473954647,Gujarati,Delhi NCR,Healthcare Technology,Professional & Formal,Deloitte,Research Scientist,11,40,4.08,32,High,Experienced Research Scientist with passion for Healthcare Technology
mentor_0066,mentor,Mentor 66,mentor66@example.com,Anna University,Computer Science,8.766424635165228,Malayalam,Mumbai Metropolitan,Finance & Investment,Analytical & Logical,Zomato,Business Analyst,8,33,4.49,27,High,Experienced Business Analyst with passion for Finance & Investment
mentor_0067,mentor,Mentor 67,mentor67@example.com,NIT Surathkal,Electrical Engineering,8.276062222330982,Marathi,Central India,Data Science & AI,Friendly & Casual,McKinsey,Cloud Architect,19,40,4.16,41,Medium,Experienced Cloud Architect with passion for Data Science & AI
mentor_0068,mentor,Mentor 68,mentor68@example.com,IIT Bombay,Chemical Engineering,8.076618439312462,Bengali,North India,Product Development,Direct & Straightforward,Flipkart,Research Scientist,18,38,4.47,40,Medium,Experienced Research Scientist with passion for Product Development
mentor_0069,mentor,Mentor 69,mentor69@example.com,NIT Trichy,Data Science,7.218300223757061,Gujarati,Kolkata,Data Science & AI,Friendly & Casual,Apple,Data Scientist,5,42,3.59,35,Very High,Experienced Data Scientist with passion for Data Science & AI
mentor_0070,mentor,Mentor 70,mentor70@example.com,SRM University,Data Science,7.159743012670524,Telugu,Central India,Tech Leadership,Professional & Formal,Google,AI Research Engineer,6,28,4.72,5,Medium,Experienced AI Research Engineer with passion for Tech Leadership
mentor_0071,mentor,Mentor 71,mentor71@example.com,SRM University,Information Technology,7.458592812235759,Hindi,Hyderabad,Tech Leadership,Analytical & Logical,Startup,Backend Engineer,12,31,4.91,15,Very High,Experienced Backend Engineer with passion for Tech Leadership
mentor_0072,mentor,Mentor 72,mentor72@example.com,VIT Vellore,Electrical Engineering,8.972754455949767,Bengali,South India,Consulting,Patient & Understanding,McKinsey,Full Stack Developer,7,30,4.47,33,Very High,Experienced Full Stack Developer with passion for Consulting
mentor_0073,mentor,Mentor 73,mentor73@example.com,SRM University,Civil Engineering,7.174980216488173,Malayalam,Kolkata,Research & Innovation,Professional & Formal,TCS,Full Stack Developer,12,42,4.93,22,Very High,Experienced Full Stack Developer with passion for Research & Innovation
mentor_0074,mentor,Mentor 74,mentor74@example.com,Amity University,Electronics,7.708423189659213,English,Central India,Startup Ecosystem,Patient & Understanding,Meta,Research Scientist,14,27,3.73,49,Medium,Experienced Research Scientist with passion for Startup Ecosystem
mentor_0075,mentor,Mentor 75,mentor75@example.com,IIIT Hyderabad,Civil Engineering,6.0,Gujarati,Central India,Healthcare Technology,Direct & Straightforward,Zomato,Backend Engineer,12,40,4.22,41,Very High,Experienced Backend Engineer with passion for Healthcare Technology
mentor_0076,mentor,Mentor 76,mentor76@example.com,IIT Madras,Data Science,8.040646984035265,Gujarati,South India,Social Impact,Supportive & Empathetic,Morgan Stanley,Data Engineer,15,30,4.4,23,Very High,Experienced Data Engineer with passion for Social Impact
mentor_0077,mentor,Mentor 77,mentor77@example.com,PESIT Bangalore,Data Science,9.305758624874512,Hindi,Central India,Finance & Investment,Supportive & Empathetic,Wipro,Cloud Architect,13,31,4.37,48,High,Experienced Cloud Architect with passion for Finance & Investment
mentor_0078,mentor,Mentor 78,mentor78@example.com,IIT Delhi,Mechanical Engineering,6.753089512589661,Tamil,Kolkata,Data Science & AI,Professional & Formal,Wipro,Backend Engineer,18,31,4.1,12,Medium,Experienced Backend Engineer with passion for Data Science & AI
mentor_0079,mentor,Mentor 79,mentor79@example.com,NIT Trichy,Data Science,10.0,Kannada,West India,Product Development,Motivational & Inspiring,Startup,Software Engineer,10,43,4.01,17,High,Experienced Software Engineer with passion for Product Development
mentor_0080,mentor,Mentor 80,mentor80@example.com,IIT Bombay,Computer Science,7.645792483725323,Kannada,North India,Tech Leadership,Analytical & Logical,Apple,Data Scientist,10,43,3.69,12,High,Experienced Data Scientist with passion for Tech Leadership
mentor_0081,mentor,Mentor 81,mentor81@example.com,IIIT Hyderabad,Biotechnology,6.0,English,East India,Tech Leadership,Analytical & Logical,Deloitte,DevOps Engineer,10,29,4.09,48,Very High,Experienced DevOps Engineer with passion for Tech Leadership
mentor_0082,mentor,Mentor 82,mentor82@example.com,NIT Trichy,Electrical Engineering,7.191569408025671,Marathi,North India,Research & Innovation,Supportive & Empathetic,TCS,Backend Engineer,15,42,3.74,36,High,Experienced Backend Engineer with passion for Research & Innovation
mentor_0083,mentor,Mentor 83,mentor83@example.com,IIT Bombay,Civil Engineering,8.564350850615266,Marathi,Pune,Product Development,Challenging & Critical,Apple,Machine Learning Engineer,4,39,4.6,42,Medium,Experienced Machine Learning Engineer with passion for Product Development
mentor_0084,mentor,Mentor 84,mentor84@example.com,PESIT Bangalore,Biotechnology,9.099453764999843,Telugu,Chennai,Product Development,Friendly & Casual,Swiggy,UI/UX Designer,14,39,3.81,38,Medium,Experienced UI/UX Designer with passion for Product Development
mentor_0085,mentor,Mentor 85,mentor85@example.com,BITS Pilani,Chemical Engineering,8.074478838601348,Bengali,Central India,Research & Innovation,Challenging & Critical,Adobe,Data Engineer,12,38,3.59,41,High,Experienced Data Engineer with passion for Research & Innovation
mentor_0086,mentor,Mentor 86,mentor86@example.com,BITS Pilani,Electronics,8.754075536703175,Punjabi,West India,Tech Leadership,Direct & Straightforward,Morgan Stanley,Full Stack Developer,14,32,4.33,16,High,Experienced Full Stack Developer with passion for Tech Leadership
mentor_0087,mentor,Mentor 87,mentor87@example.com,Anna University,Computer Science,6.557771566806117,Tamil,Mumbai Metropolitan,Healthcare Technology,Friendly & Casual,Amazon,Machine Learning Engineer,13,37,4.39,14,Very High,Experienced Machine Learning Engineer with passion for Healthcare Technology
mentor_0088,mentor,Mentor 88,mentor88@example.com,NIT Trichy,Civil Engineering,6.955790730244874,Malayalam,Central India,Academia & Teaching,Friendly & Casual,Zomato,Data Scientist,17,40,4.81,17,High,Experienced Data Scientist with passion for Academia & Teaching
mentor_0089,mentor,Mentor 89,mentor89@example.com,BITS Pilani,Biotechnology,6.1564325743985675,Punjabi,Hyderabad,Academia & Teaching,Professional & Formal,Swiggy,Backend Engineer,18,44,4.37,22,Very High,Experienced Backend Engineer with passion for Academia & Teaching
mentor_0090,mentor,Mentor 90,mentor90@example.com,Amity University,Electronics,7.015949539206478,Punjabi,Ahmedabad,Research & Innovation,Supportive & Empathetic,Infosys,Business Analyst,19,36,4.02,29,Medium,Experienced Business Analyst with passion for Research & Innovation
mentor_0091,mentor,Mentor 91,mentor91@example.com,IIT Bombay,Mechanical Engineering,8.109535189148533,Gujarati,West India,Product Development,Challenging & Critical,Paytm,Full Stack Developer,4,40,4.7,33,Low,Experienced Full Stack Developer with passion for Product Development
mentor_0092,mentor,Mentor 92,mentor92@example.com,Anna University,Computer Science,7.6701246099064155,English,South India,Finance & Investment,Challenging & Critical,Amazon,Software Engineer,14,37,4.31,3,Low,Experienced Software Engineer with passion for Finance & Investment
mentor_0093,mentor,Mentor 93,mentor93@example.com,SRM University,Computer Science,8.194279229330546,Kannada,West India,Research & Innovation,Supportive & Empathetic,Startup,Frontend Engineer,19,28,3.62,2,Low,Experienced Frontend Engineer with passion for Research & Innovation
mentor_0094,mentor,Mentor 94,mentor94@example.com,IIT Bombay,Mechanical Engineering,6.750788786002611,Telugu,Pune,Healthcare Technology,Challenging & Critical,Morgan Stanley,Software Engineer,8,42,4.35,6,Medium,Experienced Software Engineer with passion for Healthcare Technology
mentor_0095,mentor,Mentor 95,mentor95@example.com,Anna University,Electrical Engineering,6.799579978550507,Marathi,South India,Research & Innovation,Patient & Understanding,Adobe,UI/UX Designer,17,28,4.86,17,Medium,Experienced UI/UX Designer with passion for Research & Innovation
mentor_0096,mentor,Mentor 96,mentor96@example.com,PESIT Bangalore,Mechanical Engineering,7.66368816761993,English,Delhi NCR,Entrepreneurship,Supportive & Empathetic,Morgan Stanley,Consultant,5,44,4.09,41,High,Experienced Consultant with passion for Entrepreneurship
mentor_0097,mentor,Mentor 97,mentor97@example.com,NIT Trichy,Computer Science,7.017881755755748,Gujarati,East India,Data Science & AI,Professional & Formal,Flipkart,Frontend Engineer,8,29,3.94,6,Medium,Experienced Frontend Engineer with passion for Data Science & AI
mentor_0098,mentor,Mentor 98,mentor98@example.com,PESIT Bangalore,Computer Science,8.541479334528077,Malayalam,Bangalore,Product Development,Motivational & Inspiring,Infosys,Product Manager,5,28,3.72,39,High,Experienced Product Manager with passion for Product Development
mentor_0099,mentor,Mentor 99,mentor99@example.com,IIIT Hyderabad,Biotechnology,6.998064892498018,Telugu,Kolkata,Startup Ecosystem,Friendly & Casual,Apple,Backend Engineer,3,41,3.73,5,High,Experienced Backend Engineer with passion for Startup Ecosystem
mentor_0100,mentor,Mentor 100,mentor100@example.com,PESIT Bangalore,Data Science,7.103688605655003,Gujarati,West India,Consulting,Professional & Formal,Flipkart,Data Scientist,15,37,4.15,21,Medium,Experienced Data Scientist with passion for Consulting
mentor_0101,mentor,Mentor 101,mentor101@example.com,VIT Vellore,Electronics,7.83507153109479,Kannada,Kolkata,Consulting,Analytical & Logical,Meta,Full Stack Developer,16,33,4.39,0,High,Experienced Full Stack Developer with passion for Consulting
mentor_0102,mentor,Mentor 102,mentor102@example.com,SRM University,Mechanical Engineering,7.188569446618006,Kannada,Northeast India,Product Development,Direct & Straightforward,Microsoft,Product Manager,15,42,3.62,3,High,Experienced Product Manager with passion for Product Development
mentor_0103,mentor,Mentor 103,mentor103@example.com,DTU Delhi,Electronics,6.512044485170069,Kannada,Hyderabad,Startup Ecosystem,Motivational & Inspiring,Swiggy,Data Scientist,6,32,4.91,45,Low,Experienced Data Scientist with passion for Startup Ecosystem
mentor_0104,mentor,Mentor 104,mentor104@example.com,PESIT Bangalore,Mechanical Engineering,6.620515340134329,English,Central India,Social Impact,Analytical & Logical,Morgan Stanley,UI/UX Designer,9,36,4.63,48,Very High,Experienced UI/UX Designer with passion for Social Impact
mentor_0105,mentor,Mentor 105,mentor105@example.com,IIIT Hyderabad,Chemical Engineering,7.930212766725564,English,Hyderabad,Healthcare Technology,Friendly & Casual,Morgan Stanley,Research Scientist,12,43,4.38,49,High,Experienced Research Scientist with passion for Healthcare Technology
mentor_0106,mentor,Mentor 106,mentor106@example.com,NIT Surathkal,Computer Science,6.413030788350351,Marathi,Kolkata,Entrepreneurship,Challenging & Critical,Netflix,Backend Engineer,9,26,4.74,42,Low,Experienced Backend Engineer with passion for Entrepreneurship
mentor_0107,mentor,Mentor 107,mentor107@example.com,Amity University,Data Science,8.61773154203905,Marathi,North India,Entrepreneurship,Supportive & Empathetic,McKinsey,DevOps Engineer,17,28,3.62,28,Medium,Experienced DevOps Engineer with passion for Entrepreneurship
mentor_0108,mentor,Mentor 108,mentor108@example.com,IIT Bombay,Biotechnology,6.9476805725586,Malayalam,Bangalore,Tech Leadership,Friendly & Casual,Google,DevOps Engineer,17,29,4.22,20,Medium,Experienced DevOps Engineer with passion for Tech Leadership
mentor_0109,mentor,Mentor 109,mentor109@example.com,NIT Surathkal,Data Science,7.992972653574449,Telugu,North India,Data Science & AI,Professional & Formal,Meta,Backend Engineer,6,38,4.45,25,High,Experienced Backend Engineer with passion for Data Science & AI
